2024-12-29 11:07:15: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:25: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.77m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.76m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.69m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:26: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:27: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.69m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:28: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:29: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:30: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.77m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:31: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.77m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:32: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.77m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.76m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:33: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:34: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:34: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:34: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:34: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:34: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:34: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:34: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:34: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:34: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:35: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.77m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.69m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:36: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.76m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:37: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:38: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=10.32m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=9.83m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=9.93m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=9.49m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=9.90m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=10.10m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:39: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=9.78m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=9.86m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=10.62m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=9.85m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=8.80m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=9.42m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=10.24m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=45.46m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:40: Acceleration=13.18m/s^2, Velocity=0.0km/h, Status=POTENTIAL_ACCIDENT
2024-12-29 11:07:41: Acceleration=8.87m/s^2, Velocity=0.0km/h, Status=POTENTIAL_ACCIDENT
2024-12-29 11:07:41: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=POTENTIAL_ACCIDENT
2024-12-29 11:07:41: Acceleration=9.55m/s^2, Velocity=0.0km/h, Status=POTENTIAL_ACCIDENT
2024-12-29 11:07:41: Acceleration=8.60m/s^2, Velocity=0.0km/h, Status=POTENTIAL_ACCIDENT
2024-12-29 11:07:41: Acceleration=10.07m/s^2, Velocity=0.0km/h, Status=POTENTIAL_ACCIDENT
2024-12-29 11:07:41: Acceleration=9.60m/s^2, Velocity=0.0km/h, Status=POTENTIAL_ACCIDENT
2024-12-29 11:07:41: Acceleration=9.71m/s^2, Velocity=0.0km/h, Status=POTENTIAL_ACCIDENT
2024-12-29 11:07:41: Acceleration=9.68m/s^2, Velocity=0.0km/h, Status=POTENTIAL_ACCIDENT
2024-12-29 11:07:41: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:41: Acceleration=9.70m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.76m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.75m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.74m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:42: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:43: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:43: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:43: Acceleration=9.72m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:43: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:43: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
2024-12-29 11:07:43: Acceleration=9.73m/s^2, Velocity=0.0km/h, Status=NORMAL
